,nsites,nelements,volume,density,density_atomic,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,equilibrium_reaction_energy_per_atom,band_gap,efermi,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,k_voigt,k_reuss,k_vrh,g_voigt,g_reuss,g_vrh,universal_anisotropy,homogeneous_poisson
mp-30774,4,3,57.069372437338004,7.576872557828488,14.267343109334501,-4.5686278475,-4.5686278475,-0.27609653125000033,0.0,-0.04406004576704525,0.0,8.39228165,0.0027071,4.743525089525713e-05,0.0027071,0,0,114.49005725365338,114.49005725365332,114.49005725365335,54.59122581604508,35.845007254725914,45.2181165353855,2.614899535115537,0.3254972510224822
mp-30,1,1,11.445998564977856,9.21899604714547,11.445998564977856,-4.09920667,-4.09920667,0.0,0.0,0.0,0.0,7.51858683,2e-07,1.747335532715812e-08,2e-07,0,0,139.37544786242316,139.37544786242316,139.37544786242316,53.20939176724096,29.027167324691305,41.11827954596613,4.165446833315283,0.36569811335372915
mp-867123,4,3,61.45856732728134,16.46189920357815,15.364641831820334,-11.0439371125,-11.0439371125,-0.491935985833333,0.0,-0.000609803571428813,0.0,8.03205528,1.6e-05,2.6033799185061106e-07,1.6e-05,0,0,268.28194418298585,268.28194418298597,268.2819441829859,104.39613218861683,96.86111853123406,100.62862535992545,0.3889596657379606,0.3332996179831752
mp-861930,4,3,63.4675147476847,13.272644088161679,15.866878686921176,-3.7501130175,-3.7501130175,-0.34097084833333335,0.0,-0.0036301842857153765,0.0,3.67147309,8e-07,1.2604873582657244e-08,8e-07,0,0,100.3239574148315,100.32395741483147,100.32395741483148,25.368276575004916,-14.482813510902426,5.442731532051245,-13.758062290834612,0.4733560437477367
mp-865681,4,3,53.131534010132036,8.691325574947632,13.282883502533009,-8.8577192875,-8.8577192875,-0.8903155058333336,0.0,-0.20195764687499995,0.0,9.3610717,1e-07,1.882121453164335e-09,1e-07,0,0,242.90945083595312,242.9094508359531,242.90945083595312,131.82366875399018,129.02040195134757,130.42203535266887,0.10863657066034005,0.2722947509618517
mp-865165,4,3,62.38054638774521,9.085563436063763,15.595136596936303,-8.037080305,-8.037080305,-0.41050687375000017,0.0,-0.024626433750000842,0.0,5.24805805,1.126958,0.01806585650909581,1.126958,4,3,130.19166895988963,130.19166895988963,130.19166895988963,65.92394587670364,64.5569264218894,65.24043614929653,0.10587705538214198,0.28530640916059063
mp-862691,4,3,45.295256037268544,6.186110845809926,11.323814009317136,-6.24170036,-6.24170036,-0.4743276937500003,0.0,-0.005145922500000566,0.0,8.12703371,0.0072225,0.00015945378460952708,0.0072225,0,0,181.144894462433,181.14489446240682,181.14489446241993,119.40200653778304,113.92166269717403,116.66183461747853,0.24053124361343503,0.23489823510179209
mp-865444,4,3,71.49861386565583,6.780166425911478,17.874653466413957,-5.895551785,-5.895551785,-0.7343031858333333,0.0,-0.001854132083333404,0.0,4.80097118,1e-07,1.3986285131051295e-09,1e-07,0,0,90.82495351212012,90.8249535121201,90.82495351212012,36.68344805111016,35.90641290666244,36.2949304788863,0.10820283642195072,0.32367965616286226
mp-864919,4,3,57.980318078732815,7.96135044867895,14.495079519683204,-6.827813915,-6.827813915,-0.7717169633333336,0.0,-0.132868756875002,0.0,6.51348289,1e-07,1.7247232045917321e-09,1e-07,0,0,163.01392238913368,163.0139223891337,163.0139223891337,77.25856637640867,77.08078860647281,77.16967749144074,0.01153191172209489,0.29556309338306225
mp-864969,4,3,60.15119417105181,7.1205897125668765,15.037798542762953,-4.576753985,-4.576753985,-0.64056654,0.0,-0.0372077949999996,0.0,4.85218921,1.2e-06,1.9949728621971538e-08,1.2e-06,0,0,107.06294646794828,107.06294646794827,107.06294646794828,54.76055136800766,50.807353080864694,52.78395222443618,0.389038008027212,0.28828425460600615
