LENGTHS: 503 89
Directory 'outs_efermi_norm_color_3_s5200' created.
Fold 1/5
Epoch 147/800, Loss: 0.0141, R^2: 0.9872, RMSE: 0.0997
Fold 1, Epoch 147, Validation R^2: 0.6792, Validation RMSE: 0.5609
Epoch 148/800, Loss: 0.0137, R^2: 0.9870, RMSE: 0.0960
Fold 1, Epoch 148, Validation R^2: 0.6768, Validation RMSE: 0.5629
Epoch 149/800, Loss: 0.0131, R^2: 0.9875, RMSE: 0.0943
Fold 1, Epoch 149, Validation R^2: 0.6744, Validation RMSE: 0.5650
Epoch 150/800, Loss: 0.0129, R^2: 0.9886, RMSE: 0.0914
Fold 1, Epoch 150, Validation R^2: 0.6741, Validation RMSE: 0.5653
Epoch 151/800, Loss: 0.0129, R^2: 0.9886, RMSE: 0.0956
Fold 1, Epoch 151, Validation R^2: 0.6816, Validation RMSE: 0.5588
Epoch 152/800, Loss: 0.0124, R^2: 0.9883, RMSE: 0.0946
Fold 1, Epoch 152, Validation R^2: 0.6799, Validation RMSE: 0.5603
Epoch 153/800, Loss: 0.0118, R^2: 0.9912, RMSE: 0.0812
Fold 1, Epoch 153, Validation R^2: 0.6887, Validation RMSE: 0.5525
Epoch 154/800, Loss: 0.0116, R^2: 0.9898, RMSE: 0.0874
Fold 1, Epoch 154, Validation R^2: 0.6780, Validation RMSE: 0.5619
Epoch 155/800, Loss: 0.0116, R^2: 0.9884, RMSE: 0.0896
Fold 1, Epoch 155, Validation R^2: 0.6720, Validation RMSE: 0.5672
Epoch 156/800, Loss: 0.0115, R^2: 0.9910, RMSE: 0.0835
Fold 1, Epoch 156, Validation R^2: 0.6844, Validation RMSE: 0.5563
Epoch 157/800, Loss: 0.0141, R^2: 0.9891, RMSE: 0.0927
Fold 1, Epoch 157, Validation R^2: 0.6801, Validation RMSE: 0.5601
Epoch 158/800, Loss: 0.0107, R^2: 0.9903, RMSE: 0.0829
Fold 1, Epoch 158, Validation R^2: 0.6756, Validation RMSE: 0.5640
Epoch 159/800, Loss: 0.0128, R^2: 0.9871, RMSE: 0.0979
Fold 1, Epoch 159, Validation R^2: 0.6790, Validation RMSE: 0.5611
Epoch 160/800, Loss: 0.0123, R^2: 0.9896, RMSE: 0.0894
Fold 1, Epoch 160, Validation R^2: 0.6887, Validation RMSE: 0.5525
Epoch 161/800, Loss: 0.0115, R^2: 0.9894, RMSE: 0.0904
Fold 1, Epoch 161, Validation R^2: 0.6796, Validation RMSE: 0.5605
Epoch 162/800, Loss: 0.0118, R^2: 0.9890, RMSE: 0.0939
Fold 1, Epoch 162, Validation R^2: 0.6847, Validation RMSE: 0.5560
Epoch 163/800, Loss: 0.0126, R^2: 0.9883, RMSE: 0.0996
Fold 1, Epoch 163, Validation R^2: 0.6772, Validation RMSE: 0.5626
Epoch 164/800, Loss: 0.0121, R^2: 0.9882, RMSE: 0.0942
Fold 1, Epoch 164, Validation R^2: 0.6526, Validation RMSE: 0.5837
Epoch 165/800, Loss: 0.0157, R^2: 0.9856, RMSE: 0.1041
Fold 1, Epoch 165, Validation R^2: 0.6560, Validation RMSE: 0.5808
Epoch 166/800, Loss: 0.0142, R^2: 0.9866, RMSE: 0.1067
Fold 1, Epoch 166, Validation R^2: 0.6527, Validation RMSE: 0.5836
Epoch 167/800, Loss: 0.0126, R^2: 0.9886, RMSE: 0.0984
Fold 1, Epoch 167, Validation R^2: 0.6644, Validation RMSE: 0.5736
Epoch 168/800, Loss: 0.0108, R^2: 0.9897, RMSE: 0.0911
Fold 1, Epoch 168, Validation R^2: 0.6833, Validation RMSE: 0.5572
Epoch 169/800, Loss: 0.0136, R^2: 0.9875, RMSE: 0.1021
Fold 1, Epoch 169, Validation R^2: 0.6837, Validation RMSE: 0.5569
Epoch 170/800, Loss: 0.0112, R^2: 0.9895, RMSE: 0.0900
Fold 1, Epoch 170, Validation R^2: 0.6671, Validation RMSE: 0.5714
Epoch 171/800, Loss: 0.0168, R^2: 0.9847, RMSE: 0.1112
Fold 1, Epoch 171, Validation R^2: 0.6774, Validation RMSE: 0.5624
Epoch 172/800, Loss: 0.0201, R^2: 0.9808, RMSE: 0.1321
Fold 1, Epoch 172, Validation R^2: 0.6923, Validation RMSE: 0.5493
